coverage,risk,accuracy,abstain_threshold
0.0005,1.0,0.0,0.22253292023794946
0.001,1.0,0.0,0.22494259053553095
0.0015,0.6666666666666666,0.33333333333333337,0.22581225818934325
0.002,0.5,0.5,0.22651489482197873
0.0025,0.4,0.6,0.23044605370068644
0.003,0.3333333333333333,0.6666666666666667,0.23157686123999743
0.0035,0.2857142857142857,0.7142857142857143,0.23383286476540288
0.004,0.375,0.625,0.23987844682435283
0.0045,0.4444444444444444,0.5555555555555556,0.24232075457123303
0.005,0.4,0.6,0.2424667602849016
0.0055,0.36363636363636365,0.6363636363636364,0.24834664095911718
0.006,0.4166666666666667,0.5833333333333333,0.251820853302695
0.0065,0.38461538461538464,0.6153846153846154,0.2529559027037805
0.007,0.42857142857142855,0.5714285714285714,0.25352536033405493
0.0075,0.4666666666666667,0.5333333333333333,0.2540222411044542
0.008,0.4375,0.5625,0.25654621834385516
0.0085,0.4117647058823529,0.5882352941176471,0.25712471371981266
0.009,0.4444444444444444,0.5555555555555556,0.2584528233841969
0.0095,0.42105263157894735,0.5789473684210527,0.2613666986746559
0.01,0.4,0.6,0.2615839155257993
0.0105,0.38095238095238093,0.6190476190476191,0.2618164275071759
0.011,0.4090909090909091,0.5909090909090908,0.2636195483557375
0.0115,0.391304347826087,0.6086956521739131,0.26430407896055635
0.012,0.4166666666666667,0.5833333333333333,0.2646899008643978
0.0125,0.4,0.6,0.26476077247762186
0.013,0.38461538461538464,0.6153846153846154,0.2649543289511077
0.0135,0.4074074074074074,0.5925925925925926,0.26601125636218126
0.014,0.42857142857142855,0.5714285714285714,0.26742366168998266
0.0145,0.41379310344827586,0.5862068965517242,0.26896517208493825
0.015,0.4,0.6,0.2701252428051266
0.0155,0.3870967741935484,0.6129032258064516,0.27056997619409223
0.016,0.375,0.625,0.2710242125052063
0.0165,0.3939393939393939,0.6060606060606061,0.27151733282266144
0.017,0.4117647058823529,0.5882352941176471,0.27178804633292764
0.0175,0.42857142857142855,0.5714285714285714,0.27456218514808745
0.018,0.4444444444444444,0.5555555555555556,0.27713545906527814
0.0185,0.43243243243243246,0.5675675675675675,0.27767202702816074
0.019,0.42105263157894735,0.5789473684210527,0.27799817851472575
0.0195,0.4358974358974359,0.5641025641025641,0.27960335058747365
0.02,0.45,0.55,0.2797465983587986
0.0205,0.43902439024390244,0.5609756097560976,0.2798370968976386
0.021,0.4523809523809524,0.5476190476190477,0.27987318936051647
0.0215,0.4418604651162791,0.5581395348837209,0.281324601668347
0.022,0.4318181818181818,0.5681818181818181,0.2831471253773377
0.0225,0.4222222222222222,0.5777777777777777,0.28413993133596743
0.023,0.41304347826086957,0.5869565217391304,0.2842441900774365
0.0235,0.425531914893617,0.574468085106383,0.28560711066551553
