coverage,accuracy
0.0005,1.0
0.001,1.0
0.0015,1.0
0.002,1.0
0.0025,1.0
0.003,1.0
0.0035,1.0
0.004,0.875
0.0045,0.7777777777777778
0.005,0.7
0.0055,0.6363636363636364
0.006,0.5833333333333333
0.0065,0.5384615384615384
0.007,0.5
0.0075,0.5333333333333333
0.008,0.5625
0.0085,0.5294117647058824
0.009,0.5
0.0095,0.4736842105263158
0.01,0.5
0.0105,0.47619047619047616
0.011,0.5
0.0115,0.5217391304347826
0.012,0.5
0.0125,0.52
0.013,0.5384615384615384
0.0135,0.5555555555555556
0.014,0.5357142857142857
0.0145,0.5517241379310345
0.015,0.5666666666666667
0.0155,0.5806451612903225
0.016,0.59375
0.0165,0.6060606060606061
0.017,0.5882352941176471
0.0175,0.6
0.018,0.6111111111111112
0.0185,0.5945945945945945
0.019,0.6052631578947368
0.0195,0.6153846153846154
0.02,0.625
0.0205,0.6341463414634146
0.021,0.6428571428571428
0.0215,0.627906976744186
0.022,0.6136363636363636
0.0225,0.6222222222222222
0.023,0.6086956521739131
0.0235,0.5957446808510638
0.024,0.5833333333333333
0.0245,0.5918367346938775
0.025,0.6
0.0255,0.607843137254902
0.026,0.6153846153846154
0.0265,0.6226415094339622
0.027,0.6296296296296297
0.0275,0.6181818181818182
0.028,0.625
0.0285,0.6140350877192983
0.029,0.6206896551724138
0.0295,0.6271186440677966
0.03,0.6166666666666667
0.0305,0.6065573770491803
0.031,0.5967741935483871
0.0315,0.5873015873015873
0.032,0.578125
0.0325,0.5692307692307692
0.033,0.5606060606060606
0.0335,0.5522388059701493
0.034,0.5588235294117647
0.0345,0.5507246376811594
0.035,0.5571428571428572
0.0355,0.5633802816901409
0.036,0.5555555555555556
0.0365,0.547945205479452
0.037,0.5540540540540541
0.0375,0.5466666666666666
0.038,0.5394736842105263
0.0385,0.5454545454545454
0.039,0.5512820512820513
0.0395,0.5443037974683544
0.04,0.55
0.0405,0.5432098765432098
0.041,0.5365853658536586
0.0415,0.5301204819277108
0.042,0.5357142857142857
0.0425,0.5411764705882354
0.043,0.5348837209302326
0.0435,0.5287356321839081
0.044,0.5340909090909092
0.0445,0.5280898876404494
